message_id,date,symbol,pair,side,entry_values,entry_mid,stop_loss,targets,raw_text,entry_range_pct,stop_loss_pct,number_of_targets,tp1_R,tp2_R,tp3_R,tp4_R,tp5_R,tp6_R,tp7_R,tp8_R,tp9_R,tp10_R,tp11_R,tp12_R,tp13_R,tp14_R,highest_target_hit,was_profitable,was_full_tp,was_partial_tp,was_loss,linked_update_ids,cmc_id,market_cap_usd,volume_24h_usd,price_usd,volume_market_cap_ratio,historical_data_available_under_plan
2458,2023-06-20T14:00:01,AUDIO,USDT,short,"[0.169, 0.174]",0.1714999999999999,0.178,"[0.166, 0.162, 0.158, 0.155, 0.15, 0.145, 0.138, 0.13]","Coin: #AUDIO/USDT

Short Set-Up

Leverage: 5-10x

#AUDIO already Breaked down the Bear flag and looking Bearish.

Entry: 0.1690 - 0.1740$(Enter Partially)

Targets: 0.1660 - 0.1620 - 0.1580 - 0.1550 - 0.1500 - 0.1450 - 0.1380 - 0.1300$(Short Term)

Stoploss: 0.1780$",0.0291545189504371,0.0379008746355685,8,0.8461538461538419,1.4615384615384572,2.0769230769230727,2.5384615384615343,3.3076923076923035,4.076923076923073,5.153846153846145,6.384615384615376,,,,,,,1,True,False,True,False,"[2459, 2460]",,,,,,False
2461,2023-06-20T19:30:22,SFP,USDT,short,"[0.4615, 0.43]",0.44575,0.4,"[0.475, 0.485, 0.495, 0.505, 0.526, 0.55, 0.575, 0.6]","Coin: #SFP/USDT

Long Set-Up

Leverage: 5-10x

#SFP already Breaked out the Falling wedge pattern and looking bullish.

Entry: 0.4615 - 0.4300$(Buy Partially)

Targets: 0.4750 - 0.4850 - 0.4950 - 0.5050 - 0.5260 - 0.5500 - 0.5750 - 0.6000$(Short - mid term)

Stoploss: 0.4000$",0.0706674144699944,0.1026360067302298,8,0.6393442622950826,0.8579234972677605,1.0765027322404386,1.2950819672131164,1.7540983606557403,2.278688524590168,2.82513661202186,3.371584699453555,,,,,,,5,True,False,True,False,"[2462, 2464, 2468]",,,,,,False
2472,2023-06-21T20:14:55,COMP,USDT,short,"[29.55, 28.8]",29.175,28.4,"[30.0, 30.6, 31.2, 31.8, 33.0, 34.0, 35.0]","Coin: #COMP/USDT

Long Set-Up

Leverage: 5-10x

#COMP already Breaked out the Ascending triangle and looking bullish.

Entry: 29.55 - 28.80$(Buy Partially)

Targets: 30.00 - 30.60 - 31.20 - 31.80 - 33.00 - 34.00 - 35.00$(Short Term)

Stoploss: 28.40$",0.0257069408740359,0.0265638389031705,7,1.0645161290322542,1.8387096774193508,2.612903225806442,3.387096774193539,4.935483870967728,6.225806451612885,7.516129032258043,,,,,,,,7,True,True,False,False,"[2473, 2478, 2488, 2491]",,,,,,False
2475,2023-06-21T22:18:39,PEOPLE,USDT,short,"[0.0125, 0.0123]",0.0124,0.0121,"[0.0128, 0.01305, 0.0133, 0.0136, 0.0141, 0.0145, 0.015]","Coin: #PEOPLE/USDT

Long Set-Up

Leverage: 5-10x

#PEOPLE  already Breaked out the Ascending triangle and looking bullish.

Entry: 0.01250 - 0.01230$(Buy Partially)

Targets: 0.01280 - 0.01305 - 0.01330 - 0.01360 - 0.01410 - 0.01450 - 0.01500$(Short Term)

Stop loss: 0.01210$",0.0161290322580645,0.0241935483870969,7,1.3333333333333235,2.166666666666653,2.999999999999977,3.999999999999971,5.66666666666663,6.999999999999959,8.666666666666613,,,,,,,,2,True,False,True,False,"[2476, 2477, 2479]",,,,,,False
2480,2023-06-22T21:28:40,GTC,USDT,short,"[1.086, 1.02]",1.053,0.96,"[1.11, 1.13, 1.15, 1.18, 1.22, 1.27, 1.32, 1.38, 1.48, 1.6]","Coin: #GTC/USDT

Long Set-Up

Leverage: 5-10x

#GTC already Breaked out the Falling wedge pattern and looking Bullish.

Entry: 1.086 - 1.020$(Buy Partially)

Targets: 1.110 - 1.130 - 1.150 - 1.180 - 1.220 - 1.270 - 1.320 - 1.380 - 1.480 - 1.600$(Short-mid term)

Stoploss: 0.960$",0.0626780626780627,0.0883190883190883,10,0.6129032258064535,0.8279569892473116,1.043010752688172,1.3655913978494627,1.7956989247311836,2.333333333333335,2.870967741935486,3.516129032258065,4.591397849462368,5.8817204301075305,,,,,4,True,False,True,False,"[2481, 2489, 2490]",,,,,,False
2482,2023-06-22T21:47:27,ZRX,USDT,short,"[0.192, 0.2]",0.196,0.206,"[0.187, 0.183, 0.179, 0.175, 0.168, 0.162, 0.156, 0.148, 0.14]","Coin: #ZRX/USDT

Short Set-Up

Leverage: 5-10x

#ZRX showing rejection after successful retest. So we can expect a short term bearish momentum in #ZRX.

Entry: 0.1920 - 0.2000$(Enter Partially)

Targets: 0.1870 - 0.1830 - 0.1790 - 0.1750 - 0.1680 - 0.1620 - 0.1560 - 0.1480 - 0.1400$(Short Term)

Stoploss: 0.2060$",0.0408163265306122,0.0510204081632652,9,0.9000000000000025,1.3000000000000036,1.7000000000000046,2.100000000000006,2.800000000000005,3.4000000000000066,4.000000000000008,4.8000000000000105,5.60000000000001,,,,,,0,False,False,False,True,[2483],,,,,,False
2492,2023-06-25T10:46:51,RVN,USDT,short,"[0.02, 0.019]",0.0195,0.018,"[0.0204, 0.0208, 0.0214, 0.0218, 0.0226, 0.0236, 0.0246, 0.026, 0.027]","Coin: #RVN/USDT

Long Set-Up

Leverage: 5-10x

#RVN already Breaked out the Falling wedge pattern and looking bullish.

Entry: 0.02000 - 0.01900$(Buy Partially)

Targets: 0.02040 - 0.02080 - 0.02140 - 0.02180 - 0.02260 - 0.02360 - 0.02460 - 0.02600 - 0.02700$(Short-mid term)

Stoploss: 0.01800$",0.0512820512820513,0.076923076923077,9,0.6000000000000004,0.8666666666666653,1.2666666666666648,1.533333333333332,2.066666666666664,2.7333333333333307,3.399999999999997,4.333333333333329,4.999999999999996,,,,,,4,True,False,True,False,"[2493, 2494, 2495]",,,,,,False
2496,2023-06-25T22:06:59,KSM,USDT,short,"[25.9, 24.0]",24.95,22.5,"[26.5, 27.0, 27.5, 28.0, 29.0, 30.2, 31.4, 33.0, 34.5, 36.0]","Coin: #KSM/USDT

Long Set-Up

Leverage: 5-10x

#KSM already Breaked out the Falling wedge pattern and looking Bullish.

Entry: 25.90 - 24.00$(Buy Partially)

Targets: 26.50 - 27.00 - 27.50 - 28.00 - 29.00 - 30.20 - 31.40 - 33.00 - 34.50 - 36.00$(Short-mid term)

Stoploss: 22.50$",0.0761523046092183,0.0981963927855711,10,0.6326530612244903,0.8367346938775515,1.0408163265306127,1.2448979591836742,1.6530612244897966,2.142857142857144,2.6326530612244903,3.285714285714287,3.897959183673471,4.510204081632654,,,,,2,True,False,True,False,"[2497, 2527, 2549]",,,,,,False
2501,2023-06-26T19:41:15,MANA,USDT,short,"[0.377, 0.385]",0.381,0.392,"[0.37, 0.362, 0.354, 0.344, 0.332, 0.32]","Coin: #MANA/USDT

Short Set-Up

Leverage: 5-10x

#MANA already Breaked down the Head and shoulder pattern and looking Bearish.

Entry: 0.3770 - 0.3850$(Enter Partially)

Targets: 0.3700 - 0.3620 - 0.3540 - 0.3440 - 0.3320 - 0.3200$( short term)

Stoploss: 0.3920$",0.020997375328084,0.0288713910761155,6,1.0,1.7272727272727273,2.4545454545454546,3.363636363636364,4.45454545454545,5.5454545454545405,,,,,,,,,0,False,False,False,True,"[2502, 2503, 2505, 2508, 2510, 2524, 2558, 2560, 2563, 2566, 2568, 2570, 2581, 2583, 2588, 2602]",,,,,,False
2504,2023-06-27T12:19:37,CELR,USDT,short,"[0.0172, 0.016]",0.0166,0.015,"[0.0176, 0.018, 0.0184, 0.0188, 0.0196, 0.0204, 0.0212, 0.0222, 0.024]","Coin: #CELR/USDT

Long Set-Up

Leverage: 5-10x

#CELR already Breaked out the downtrend channel and looking bullish.

Entry: 0.01720 - 0.01600$(Buy Partially)

Targets: 0.01760 - 0.01800 - 0.01840 - 0.01880 - 0.01960 - 0.02040 - 0.02120 - 0.02220 - 0.02400$(Short-mid term)

Stoploss: 0.01500$",0.072289156626506,0.0963855421686747,9,0.6250000000000002,0.8749999999999987,1.1249999999999991,1.3749999999999998,1.874999999999999,2.375,2.8749999999999987,3.499999999999999,4.624999999999998,,,,,,2,True,False,True,False,"[2505, 2548, 2552]",,,,,,False
