message_id,date,symbol,pair,side,entry_values,entry_mid,stop_loss,targets,raw_text,entry_range_pct,stop_loss_pct,number_of_targets,tp1_R,tp2_R,tp3_R,tp4_R,tp5_R,tp6_R,tp7_R,tp8_R,tp9_R,tp10_R,tp11_R,tp12_R,tp13_R,tp14_R,highest_target_hit,was_profitable,was_full_tp,was_partial_tp,was_loss,had_unresolved_profit_signal,linked_update_ids
1270,2022-11-20T21:06:15,CHZ,USDT,short,"[0.209, 0.225, 0.235]",0.223,0.245,"[0.206, 0.202, 0.198, 0.194, 0.188, 0.18, 0.172, 0.165, 0.154, 0.14]","Coin: #CHZ/USDT

Short Set-up

Lev: 5-10x

#CHZ already Breaked down the Bear flag pattern and looking bearsish.

Entry: 0.209 - 0.225 - 0.235$(Enter partially)

Target: 0.206 - 0.202 - 0.198 - 0.194 - 0.188 - 0.180 - 0.172 - 0.165 - 0.154 - 0.140$+(Short -mid term)

Stoploss: 0.245$",0.11659192825112105,0.09865470852017934,10,0.7727272727272737,0.9545454545454545,1.1363636363636365,1.3181818181818186,1.5909090909090917,1.9545454545454557,2.3181818181818197,2.636363636363637,3.136363636363638,3.772727272727274,,,,,9,True,False,True,False,True,"[1271, 1272, 1273, 1282, 1300, 1309, 1338]"
1306,2022-11-30T13:29:49,ENS,USDT,long,"[13.75, 13.3]",13.525,13.1,"[14.0, 14.25, 14.5, 14.8, 15.3, 15.8, 16.3, 16.8, 18.0]","Coin: #ENS/USDT

Long set-up

Lev: 5-10x

#ENS already Breaked out the Ascending traingle and looking bullish.

Entry: 13.750 - 13.300$(Buy partially)

Target: 14.00 - 14.250 - 14.500 - 14.800 - 15.300 - 15.800 - 16.300 - 16.800 - 18.00$(Short -mid term)

Stoploss: 13.100$",0.033271719038816955,0.03142329020332722,9,1.1176470588235268,1.7058823529411729,2.294117647058819,2.999999999999996,4.176470588235288,5.35294117647058,6.5294117647058725,7.705882352941164,10.529411764705864,,,,,,2,True,False,True,False,True,"[1307, 1308, 1310, 1325]"
1336,2022-12-12T11:09:06,BTC,USDT,short,"[16960.0, 17212.0]",17086.0,17500.0,"[16700.0, 16400.0, 16100.0, 15800.0, 15500.0]","Coin: #BTC/USDT

Short Set-up

Lev: 5-10x

#BTC already Breaked down the Rising Wedge pattern and looking bearsish.

Entry: 16960 - 17212$(Enter partially)

Target: 16700 - 16400 - 16100 - 15800 - 15500$(Short term)

Stoploss: 17500$",0.014748917242186585,0.024230364040735104,5,0.9323671497584541,1.6570048309178744,2.3816425120772946,3.106280193236715,3.8309178743961354,,,,,,,,,,0,False,False,False,True,True,"[1337, 1347, 1351, 1353, 1359, 1360, 1363, 1371, 1378, 1381, 1385, 1388, 1394, 1399, 1406, 1420, 1435, 1436, 1455]"
1619,2023-03-13T21:36:38,BTC,USDT,short,"[24200.0, 25200.0]",24700.0,26800.0,"[23600.0, 23000.0, 22200.0, 21400.0, 20250.0, 19400.0, 18000.0]","Coin : #BTC/USDT

Short Set-Up

Leverage: 3-5x

#BTC Now testing the importance resistance zone. So we can expect a rejection from the resistance zone. 

Entry: 24200 - 25200$(Enter Partially)

Targets: 23600 - 23000 - 22200 - 21400 - 20250 - 19400 - 18000$+(Short -mid term)

Stop-loss: 26800$",0.04048582995951417,0.08502024291497975,7,0.5238095238095238,0.8095238095238095,1.1904761904761905,1.5714285714285714,2.119047619047619,2.5238095238095237,3.1904761904761907,,,,,,,,0,False,False,False,True,True,"[1620, 1625, 1626, 1631, 1634, 1637, 1648, 1685, 1709, 1716, 1718, 1721, 1728, 1740]"
1770,2023-04-10T07:54:40,ETH,USDT,long,"[1860.0, 1830.0]",1845.0,1800.0,"[1890.0, 1930.0, 1960.0, 2010.0, 2050.0, 2100.0]","Coin: #ETH/USDT

Long Set-Up 

Leverage: 5-10x

#ETH already Breaked out the bull flag and looking bullish.

Entry: 1860 - 1830$(Enter Partially)

Targets: 1890 - 1930 - 1960 - 2010 - 2050 - 2100$(Short Term)

Stop-loss: 1800$",0.016260162601626018,0.024390243902439025,6,1.0,1.8888888888888888,2.5555555555555554,3.6666666666666665,4.555555555555555,5.666666666666667,,,,,,,,,4,True,False,True,False,True,"[1771, 1772, 1774, 1775, 1810, 1814, 1833]"
1830,2023-04-15T09:41:20,XEM,USDT,long,"[0.042, 0.041]",0.0415,0.04,"[0.043, 0.0436, 0.0444, 0.0454, 0.047, 0.049, 0.0505, 0.052]","Coin: #XEM/USDT

Long Set-Up

Leverage: 5-10x

#XEM already Breaked out the Ascending triangle and looking bullish .

Entry: 0.0420 - 0.0410$(Buy Partially)

Targets: 0.0430 - 0.0436 - 0.0444 - 0.0454 - 0.0470 - 0.0490 - 0.0505 - 0.0520$(Short Term)

Stoploss: 0.0400$",0.024096385542168693,0.036144578313253045,8,0.9999999999999953,1.3999999999999972,1.9333333333333316,2.5999999999999983,3.666666666666662,4.999999999999996,5.999999999999996,6.999999999999991,,,,,,,0,False,False,False,True,True,"[1831, 1844]"
1849,2023-04-17T14:42:47,EOS,USDT,short,"[1.21, 1.25]",1.23,1.28,"[1.185, 1.16, 1.14, 1.115, 1.07, 1.03, 1.0]","Coin: #EOS/USDT

Short Set-Up

Leverage: 5-10x

#EOS already Breaked down the Rising wedge pattern and looking Bearsish. 

Entry: 1.210 - 1.250$(Enter Partially)

Targets: 1.185 - 1.160 - 1.140 - 1.115 - 1.070 - 1.030 - 1.000$(Short Term)

Stoploss: 1.280$",0.032520325203252064,0.040650406504065074,7,0.8999999999999978,1.4,1.8,2.2999999999999976,3.1999999999999957,3.9999999999999956,4.599999999999995,,,,,,,,6,True,False,True,False,True,"[1850, 1866, 1877, 1890, 1933]"
1960,2023-05-03T08:50:33,ONE,USDT,short,"[0.0188, 0.02]",0.0194,0.021,"[0.0184, 0.018, 0.0177, 0.0174, 0.0168, 0.0162, 0.0156, 0.015]","Coin: #ONE/USDT

Short Set-Up

Leverage: 5-10x

#ONE already Breaked down the neckline of Head and Shoulder pattern and looking Bearsish.

Entry: 0.01880 - 0.02000$(Enter Partially)

Targets: 0.01840 - 0.01800 - 0.01770 - 0.01740 - 0.01680 - 0.01620 - 0.01560 - 0.01500$(Short Term)

Stoploss: 0.02100$",0.061855670103092765,0.08247422680412375,8,0.6250000000000002,0.8750000000000008,1.0624999999999996,1.2500000000000004,1.6250000000000002,2.0,2.3749999999999996,2.7499999999999996,,,,,,,8,True,True,False,False,True,"[1961, 1965, 1966, 1967, 1968, 1970, 1971, 1978, 1985, 1988, 1990, 1991, 1993, 1994, 1997, 1998, 1999, 2000, 2001, 2004, 2005, 2010, 2011, 2028, 2029, 2031, 2032, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2056, 2060, 2061, 2064, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075, 2076, 2077, 2080, 2081, 2082, 2083, 2084, 2088, 2093, 2094, 2095, 2096, 2101]"
2006,2023-05-06T21:42:49,CHZ,USDT,short,"[0.125, 0.128]",0.1265,0.13,"[0.123, 0.121, 0.119, 0.117, 0.112, 0.108, 0.105]","Coin: #CHZ/USDT

Short Set-Up

Leverage: 5-10x

#CHZ already Breaked down the Rising wedge pattern and looking Bearsish.

Entry: 0.1250 - 0.1280$(Enter Partially)

Targets: 0.1230 - 0.1210 - 0.1190 - 0.1170 - 0.1120 - 0.1080 - 0.1050$(Short Term)

Stoploss: 0.1300$",0.023715415019762865,0.027667984189723344,7,1.0,1.5714285714285714,2.142857142857143,2.7142857142857104,4.142857142857139,5.285714285714282,6.142857142857139,,,,,,,,5,True,False,True,False,True,"[2007, 2040, 2074, 2080]"
2133,2023-05-15T13:37:49,LINA,USDT,long,"[0.0099, 0.0096]",0.00975,0.0093,"[0.0101, 0.0103, 0.0105, 0.01075, 0.0112, 0.0116, 0.012, 0.0125]","Coin: #LINA/USDT

Long Set-Up

Leverage: 5-10x

#LINA already Breaked out the Falling wedge pattern and looking Bullish.

Entry: 0.00990 - 0.00960$(Buy Partially)

Targets: 0.01010 - 0.01030 - 0.01050 - 0.01075 - 0.01120 - 0.01160 - 0.01200 - 0.01250$(Short - mid term)

Stoploss: 0.00930$",0.030769230769230937,0.04615384615384623,8,0.7777777777777757,1.2222222222222205,1.6666666666666654,2.2222222222222165,3.2222222222222165,4.111111111111103,4.999999999999992,6.111111111111103,,,,,,,6,True,False,True,False,True,"[2134, 2137, 2141, 2144, 2145, 2148, 2199, 2241, 2242, 2251, 2252]"
