message_id,date,symbol,pair,side,entry_values,entry_mid,stop_loss,targets,raw_text,entry_range_pct,stop_loss_pct,number_of_targets,tp1_R,tp2_R,tp3_R,tp4_R,tp5_R,tp6_R,tp7_R,tp8_R,tp9_R,tp10_R,tp11_R,tp12_R,tp13_R,tp14_R
6075,2025-06-11T00:33:37,LEVER,USDT,long,"[0.000486, 0.00047]",0.000478,0.00045,"[0.0005, 0.000515, 0.000525, 0.00054, 0.000565, 0.00059, 0.00062]","Coin: #LEVERUSDT

Long Set-Up

Leverage: 5-10x

#LEVER already broke out of the falling wedge pattern and is looking bullish.

Entry: $0.0004860 - $0.0004700 (Buy partially)

Targets: $0.0005000 - $0.0005150 - $0.0005250 - $0.0005400 - $0.0005650 - $0.0005900 - $0.0006200 (Short-mid term)

Stop-loss: $0.0004500",0.03347280334728035,0.05857740585774065,7,0.7857142857142846,1.3214285714285712,1.678571428571425,2.2142857142857113,3.107142857142852,3.999999999999996,5.071428571428565,,,,,,,
6080,2025-06-13T00:43:37,GRIFFAIN,USDT,short,"[0.04486, 0.05]",0.04743,0.05246,"[0.0435, 0.0425, 0.0415, 0.0405, 0.038, 0.036, 0.0335, 0.03]","Coin: #GRIFFAINUSDT

Short Set-Up 

Leverage: 5-10x

#GRIFFAIN already breaked down done. Dump will expect📉

Entry: 0.04486 - 0.05000$(Enter partially)

Targets: 0.04350 - 0.04250 - 0.04150 - 0.04050 - 0.03800 - 0.03600 - 0.03350 - 0.03000$(Short-mid term)

Stop-loss: 0.05246$",0.10837022981235517,0.10605102255956145,8,0.7813121272365812,0.980119284294234,1.1789264413518883,1.3777335984095425,1.8747514910536782,2.272365805168987,2.769383697813121,3.465208747514911,,,,,,
6084,2025-06-14T15:25:21,SNX,USDT,short,"[0.615, 0.64]",0.6275,0.66,"[0.6, 0.587, 0.57, 0.555, 0.525, 0.5]","Coin: #SNXUSDT

Short Set-Up

Leverage: 5-10x

#SNX already broke down the head and shoulder pattern and is looking bearish.

Entry: $0.615-$0.640 (Enter partially)

Targets: $0.600, $0.587, $0.570, $0.555, $0.525, $0.500 (Short-mid term)

Stop-loss: $0.660",0.039840637450199244,0.051792828685259105,6,0.846153846153843,1.2461538461538424,1.7692307692307645,2.230769230769222,3.1538461538461435,3.9230769230769114,,,,,,,,
6087,2025-06-14T15:54:51,1000CAT,USDT,short,"[0.00631, 0.0066]",0.006455,0.0068,"[0.0061, 0.00595, 0.0058, 0.00565, 0.0053, 0.0049, 0.0045]","Coin: #1000CATUSDT

Short Set-Up

Leverage: 5-10x

#1000CAT already broke down the head and shoulders pattern and looks bearish.

Entry: $0.006310 - $0.006600 (Enter partially)

Targets: $0.006100 - $0.005950 - $0.005800 - $0.005650 - $0.005300 - $0.004900 - $0.004500 (Short-mid term)

Stop-loss: $0.006800",0.04492641363284281,0.05344694035631291,7,1.0289855072463756,1.463768115942028,1.8985507246376827,2.333333333333335,3.347826086956523,4.5072463768115965,5.66666666666667,,,,,,,
6091,2025-06-15T21:15:33,ARKM,USDT,short,"[0.47, 0.49]",0.48,0.51,"[0.46, 0.45, 0.44, 0.43, 0.405, 0.38]","Coin: #ARKMUSDT

Short Set-Up

Leverage: 5-10x

#ARKM already broke down the head and shoulders pattern and is looking bearish.

Entry: $0.4700-$0.4900 (Enter partially)

Targets: $0.4600, $0.4500, $0.4400, $0.4300, $0.4050, $0.3800 (Short-mid term)

Stop-loss: $0.5100",0.041666666666666706,0.06250000000000006,6,0.6666666666666649,0.9999999999999981,1.3333333333333315,1.6666666666666647,2.4999999999999964,3.3333333333333295,,,,,,,,
6098,2025-06-17T08:55:11,ROSE,USDT,short,"[0.02433, 0.026]",0.025165,0.0273,"[0.02375, 0.02325, 0.0225, 0.022, 0.0205, 0.0195, 0.018]","Coin: #ROSEUSDT

Short Set-Up 

Leverage: 5-10x

#ROSE already breaked down the Head and shoulder pattern and looking Bearish.

Entry: 0.02433 - 0.02600$(Enter partially)

Targets: 0.02375 - 0.02325 - 0.02250 - 0.02200 - 0.02050 - 0.01950 - 0.01800$(Short-mid term)

Stop-loss: 0.02730$",0.06636201072918728,0.08484005563282343,7,0.662763466042154,0.89695550351288,1.248243559718969,1.482435597189695,2.1850117096018717,2.653395784543324,3.3559718969555017,,,,,,,
6106,2025-06-18T22:20:08,XLM,USDT,short,"[0.248, 0.255]",0.2515,0.26,"[0.242, 0.236, 0.23, 0.224, 0.212, 0.2]","Coin: #XLMUSDT

Short Set-Up

Leverage: 5-10x

#XLM already breaked down the Head and shoulder pattern and looking Bearish.

Entry: 0.248 - 0.255$(Enter partially)

Targets: 0.242 - 0.236 - 0.230 - 0.224 - 0.212 - 0.200$(Short-mid term)

Stop-loss: 0.260$",0.027833001988071596,0.03379721669980122,6,1.1176470588235294,1.8235294117647058,2.529411764705879,3.2352941176470558,4.647058823529409,6.058823529411758,,,,,,,,
6110,2025-06-20T16:58:43,GRT,USDT,short,"[0.08242, 0.086]",0.08421,0.09,"[0.081, 0.079, 0.077, 0.075, 0.071, 0.068, 0.065]","Coin: #GRTUSDT

Short Set-Up

Leverage: 5-10x

#GRT already broke down the head and shoulder pattern and is looking bearish.

Entry: $0.08242 - $0.08600 (Enter partially)

Targets: $0.08100 - $0.07900 - $0.07700 - $0.07500 - $0.07100 - $0.06800 - $0.06500 (Short-mid term)

Stop-loss: $0.09000",0.042512765704785654,0.06875667972924836,7,0.5544041450777183,0.8998272884283228,1.2452504317789275,1.590673575129532,2.2815198618307413,2.799654576856646,3.3177892918825527,,,,,,,
6117,2025-06-22T22:57:09,1000CHEEMS,USDT,short,"[0.00132, 0.00138]",0.00135,0.00142,"[0.0013, 0.00127, 0.00124, 0.00121, 0.00114, 0.00105]","Coin: #1000CHEEMSUSDT

Short Set-Up 

Leverage: 5-10x

#1000CHEEMS already breaked down the Inverse cup and handle pattern and looking bearish.

Entry: 0.00132 - 0.00138$(Enter partially)

Targets: 0.00130 - 0.00127 - 0.00124 - 0.00121 - 0.00114 - 0.00105$(Short-mid term)

Stop-loss: 0.00142$",0.0444444444444444,0.05185185185185182,6,0.7142857142857165,1.1428571428571432,1.5714285714285732,2.000000000000003,3.000000000000003,4.28571428571429,,,,,,,,
6123,2025-06-23T23:04:53,AKT,USDT,long,"[1.055, 1.04]",1.0474999999999999,1.025,"[1.075, 1.1, 1.125, 1.15, 1.2, 1.24]","Coin: #AKTUSDT

Long Set-Up

Leverage: 5-10x

#AKT already broke out of the inverse head and shoulders pattern and is looking bullish.

Entry: $1.055 - $1.040 (Buy partially)

Targets: $1.075 - $1.100 - $1.125 - $1.150 - $1.200 - $1.240 (Short term)

Stop-loss: $1.025",0.01431980906921232,0.021479713603818583,6,1.2222222222222276,2.3333333333333464,3.4444444444444553,4.555555555555564,6.777777777777792,8.555555555555575,,,,,,,,
