market_cap_usd,volume_24h_usd,price_usd,volume_market_cap_ratio,stop_loss_pct,entry_range_pct,number_of_targets,avg_tp_R,max_tp_R,min_tp_R,side_is_long,side_is_short,was_profitable,predicted_profitable,predicted_profitable_probability
9398200255.637657,365068994.8668201,469.7527923941784,0.038844564377932655,0.1214057507987221,0.0830670926517571,7,1.482769423558896,2.7280701754385945,0.5899122807017536,1,0,0,0,0.4251250340942903
812574603.796376,41054862.7671187,0.09140550351033042,0.050524422711845776,0.0611303344867359,0.0299884659746251,8,2.584905660377356,5.0377358490566,0.660377358490566,0,1,1,1,0.8388460751373396
37782565.187072106,11175479.66496035,0.0074667074602851905,0.29578403715119417,0.1314984709480121,0.0795107033639145,10,1.8418604651162798,3.88372093023256,0.5348837209302327,0,1,1,1,0.8785818946540612
195354592.96907216,27739218.60612405,1.1533500964600691,0.14199419724170817,0.0940919037199125,0.0631447327289777,9,2.012181616832778,3.9833887043189344,0.5946843853820589,0,1,1,1,0.9275663494041957
24973953.600438435,799442.48619342,0.2801240134938327,0.032011050352051,0.0409941244006214,0.0279597487674749,6,2.8714991762767603,5.26029654036242,0.9769357495881336,1,0,1,1,0.7931212413948598
17812440.7280153,68625759.99966776,0.026708442455293774,3.852687065604299,0.0522088353413655,0.0401606425702811,8,2.9038461538461515,5.461538461538457,0.8461538461538461,1,0,1,1,0.8979623830027168
1287828.137199844,99785.24377539,0.0018764199445593462,0.07748335425591452,0.0556274256144891,0.0336351875808538,7,2.421926910298995,4.813953488372079,0.6279069767441829,1,0,1,1,0.8780356074911724
360925287.1258656,57820135.35960212,0.24494676538194646,0.1601997350200583,0.0748898678414097,0.0616740088105727,8,2.4926470588235263,4.882352941176466,0.7647058823529396,1,0,1,1,0.7821886769198984
0.0,194148.77181479,0.08055491043923123,,0.0805443177638838,0.0507539536594335,8,2.80993150684931,5.849315068493143,0.7123287671232843,1,0,1,1,0.87812499422685
1773295782.4894564,392060630.06651545,115.33973732568921,0.22109150314231155,0.0871699615231525,0.0469682897704656,8,2.188736681887365,4.357686453576861,0.5829528158295271,1,0,0,1,0.8307278270279069
2615959.2318458045,34848.67869805,0.007801976328640657,0.013321567963985809,0.0552763819095477,0.0301507537688442,7,2.8181818181818166,5.909090909090905,0.8181818181818182,1,0,1,1,0.9104406249795166
4269244653.5110803,283152376.7225906,55.48432545930474,0.06632376443681262,0.0160812526449429,0.0110029623360136,6,5.853070175438551,11.499999999999917,1.6315789473684033,1,0,0,0,0.26659736930872424
280904935.45673025,39717425.2669639,0.7990713646964658,0.14139098411491546,0.0652699435938759,0.0660757453666398,6,3.2181069958847712,5.666666666666663,1.345679012345678,1,0,0,0,0.37740835026117364
4224827435.1856112,94707364.41078965,0.09756336295135556,0.02241685982770296,0.0689655172413793,0.0459770114942527,8,2.3645833333333304,4.499999999999996,0.7499999999999977,0,1,1,1,0.7911034525461479
17173175.840789717,9339148.2213476,4.285480743641242,0.5438218479755655,0.0950080515297906,0.0611916264090176,7,1.6731234866828095,3.0677966101694927,0.6271186440677973,0,1,1,1,0.8963485882728488
4817281.715874454,196839.4281133,1.1469718371129652e-08,0.040861099624847005,0.1251049538203191,0.0822837951301428,8,1.4748322147650992,2.624161073825501,0.5436241610738247,0,1,1,1,0.7123309806246111
1311570635.7028055,48996839.35211135,0.26935337334523907,0.037357377497138286,0.1182603515043193,0.0935358951444741,7,1.6196473551637265,3.130982367758183,0.612090680100755,1,0,1,1,0.6855371930118129
278450257.6258295,11938807.64636246,0.06464466498781316,0.042875908064000996,0.0917347865576749,0.062367544656373,7,2.319189061763314,4.280528052805273,0.7161716171617131,1,0,0,1,0.6086820226074564
1440873721127.7817,47067324911.49147,72038.11750990557,0.03266582228639131,0.0521895620875824,0.0323935212957408,6,2.14176245210728,3.827586206896552,0.8390804597701149,1,0,1,1,0.8697504238586414
468787.96640351496,110977.2962522,8.403364565583697e-06,0.23673239119938275,0.0551558752997602,0.0383693045563548,6,2.1521739130434763,4.217391304347822,0.7391304347826073,0,1,1,1,0.9143696540727047
40662950.269710444,4212680.70252521,0.09567753049662446,0.10359997674992134,0.0845906085777249,0.0674690625529751,7,2.068995133123393,4.210420841683373,0.683366733466935,1,0,1,1,0.8758353677156341
33602237.03107661,1982567.73356984,0.0634268665592774,0.05900106387965441,0.0688815998307058,0.0531160723732937,7,2.783190695633089,6.373271889400918,0.843317972350229,1,0,1,1,0.8521787347741275
85574316.63796486,3748506.81993612,0.005179431618999394,0.04380411047621621,0.0825688073394493,0.073394495412844,6,2.2407407407407476,4.555555555555568,0.8055555555555582,1,0,1,1,0.8430240427522603
51153696435.8756,4798827426.911864,89.54901083310344,0.09381193855516382,0.0396507821025826,0.0210985813022917,7,3.5347313237221587,7.807339449541303,0.8348623853211048,1,0,1,1,0.6906360465538254
96871779.32620504,12029978.33038893,0.9140379758225218,0.12418455007292994,0.0749525616698291,0.0550284629981025,6,1.94303797468355,3.746835443037985,0.7088607594936757,1,0,1,1,0.9601680855243415
20976201.131736003,5485623.87360643,0.0026880765218108703,0.26151655579364846,0.0723357261181668,0.056322473771397,7,2.315158124318425,4.648854961832052,0.8320610687022866,1,0,1,1,0.8064160589711965
13379444.673826788,2930368.43377749,0.016221468955630328,0.21902018396248926,0.0315351368656955,0.01504722266688,6,3.653130287648057,7.88324873096447,1.0304568527918805,1,0,1,1,0.8060325339012325
96013394.78087379,13757609.03020378,0.012717450865156632,0.14328843451064335,0.0604911818031976,0.035272787209494,6,2.0426884650317887,4.177111716621253,0.634877384196185,1,0,1,1,0.8970615937895116
49138200.72178436,3478360.44116912,3.0094032727279667,0.0707872976640568,0.0959361011147195,0.0689897305362941,6,1.9582189691979257,3.8490393412625794,0.7383348581884709,1,0,1,1,0.8995131669899066
14666747.843013985,4996471.07788667,0.01670031296539477,0.340666597078409,0.0871369294605809,0.0497925311203319,8,2.385416666666665,5.190476190476189,0.6666666666666655,1,0,0,0,0.41956544470983176
21607055.66842692,6549821.2968869,0.06595713395353119,0.30313344850857016,0.0465436518865327,0.0380060589369319,8,3.4674556213017684,7.284023668639041,0.8934911242603538,0,1,1,1,0.8774235403390194
1311570635.7028055,48996839.35211135,0.26935337334523907,0.037357377497138286,0.0379425671779495,0.0166070810748471,6,2.622087132725427,4.4711246200607855,0.9756838905775068,0,1,0,0,0.2129415977125399
8990613.155357456,6299.0844702,0.5203013140883274,0.0007006290184386825,0.0197678067147788,0.0081581424537182,4,3.2658730158730007,5.349206349206327,1.3809523809523725,0,1,1,1,0.798073207138605
3580274058.757841,343480866.08905405,215.97845894401118,0.09593703176125659,0.050632911392405,0.0405063291139239,8,3.75,8.25,0.75,1,0,1,1,0.8832198229031238
63940777.40963399,7118624.57817814,0.05904875106334503,0.11133152999646785,0.042863087806908,0.023304203079484,6,3.0453074433656937,6.766990291262132,0.9417475728155325,1,0,1,1,0.8251884398392317
82896331.48976384,5409798.82173676,4.633510847859301,0.06525980974688572,0.0583143241504357,0.0347429373574309,7,2.5821750967187262,4.917753259779337,0.905717151454362,1,0,1,1,0.792882150060091
7519959.658099413,3746326.60879465,0.005416530143606218,0.4981844024601447,0.0700763865825306,0.0405181002989041,7,2.4935680433310807,4.6872037914692015,0.8009478672985811,1,0,1,1,0.7920080932517349
55442069.716944516,3781716.85269271,0.04236212020610227,0.06821023948059646,0.0932203389830508,0.0508474576271185,7,1.850649350649352,3.818181818181821,0.6363636363636371,1,0,1,1,0.9197937047309904
115178242.51192075,13478754.83629977,2.317984822857894,0.11702518238116666,0.0689941812136327,0.0714879467996675,8,3.0813253012048114,5.987951807228901,0.9277108433734914,1,0,1,1,0.7262540708376072
195354592.96907216,27739218.60612405,1.1533500964600691,0.14199419724170817,0.041388518024032,0.0360480640854471,6,2.790322580645159,4.806451612903222,0.935483870967742,0,1,1,1,0.6568161844404142
305538004.94768286,9980621.11714127,0.3281850404761972,0.0326657271943968,0.0461495300883713,0.0361902090054706,7,3.7763786365610166,8.72644376899698,0.8237082066869322,1,0,1,1,0.7086058969897607
1610731.643243151,213282.53673885,0.002843536399239191,0.13241345175873814,0.0599369085173501,0.0441640378548895,7,2.6090225563909795,5.421052631578952,0.7894736842105274,1,0,1,1,0.9586821171160602
294982823.0522489,23560021.15809532,0.056821661892437945,0.07986912903712445,0.0449438202247189,0.0224719101123595,6,2.666666666666675,5.250000000000015,1.0000000000000036,1,0,1,1,0.6467375754999057
85574316.63796486,3748506.81993612,0.005179431618999394,0.04380411047621621,0.0242139501264908,0.0195157209974701,6,4.920398009950244,10.04477611940298,1.686567164179102,1,0,1,1,0.7933927310203985
2536900019.3082,123696261.49447244,1.515531757125091,0.048758823979276805,0.0325342465753426,0.0222602739726027,7,3.821428571428542,7.421052631578893,0.9736842105263072,1,0,1,1,0.798883663647801
15141065807.161097,1430278441.832856,0.09870936594079055,0.09446352456617642,0.0495674039977837,0.0394663938967736,7,2.648200466773123,4.760963026655199,0.8056749785038683,1,0,1,1,0.8582551827213016
14666747.843013985,4996471.07788667,0.01670031296539477,0.340666597078409,0.0455486542443064,0.0289855072463767,6,2.8636363636363646,4.90909090909091,1.0454545454545467,0,1,0,0,0.4026799372993653
6009645.865685857,4099275.11559399,0.02088501092389203,0.682115919508704,0.0491318803103063,0.0243812338381972,7,2.4801288936627466,4.563909774436121,0.8045112781954966,0,1,0,0,0.358194026292902
11808071.908246953,6084028.11818376,0.02337653441679934,0.5152431459986769,0.0364567640855679,0.0235010545344982,5,2.27272727272727,4.289256198347103,0.8181818181818152,0,1,1,1,0.7776899405616303
2407542.720749343,323688.62075285,0.0025052473681054553,0.13444771632218538,0.0431372549019606,0.0392156862745097,8,3.465909090909103,6.8181818181818405,0.9090909090909124,0,1,1,1,0.900988601870023
,,,,0.0525817148270962,0.0374906949989849,6,2.1102531102531077,4.148005148005143,0.801801801801801,1,0,1,1,0.8988181704822609
18345353.843962424,6248917.14262662,0.018345462008806428,0.3406266892302641,0.0547012856062515,0.0337786740610033,8,3.377880184331801,7.064516129032265,0.8433179723502334,1,0,1,1,0.7972868866809003
51178965.09265948,196208656.93746978,0.015624466084734225,3.8337753915545996,0.0363836824696802,0.0286659316427784,6,2.989898989898993,5.666666666666674,1.1212121212121249,0,1,1,1,0.8697487637713317
9398200255.637657,365068994.8668201,469.7527923941784,0.038844564377932655,0.017743979721166,0.0126742712294043,5,4.128571428571428,7.785714285714286,1.5,0,1,1,1,0.7702549420548228
18345353.843962424,6248917.14262662,0.018345462008806428,0.3406266892302641,0.083928330863532,0.0600835241815978,6,2.3172819689673694,4.136436597110767,0.9261637239165368,1,0,1,1,0.7955524704837568
0.0,939.16894929,0.0017835638974322667,,0.045280960174577,0.0360065466448445,7,3.8192771084337482,8.03614457831328,1.1084337349397633,1,0,1,1,0.9244042579737808
18874133.058004413,5745147.53278895,0.01887444820487752,0.3043926582022513,0.0739829396325459,0.0643044619422573,7,2.7012987012987013,5.330376940133039,0.8957871396895791,1,0,1,1,0.8024698763931988
6639374480.423059,74176926.27156787,359.92121178097494,0.011172276317639087,0.0202154345580641,0.0168216024789729,4,3.4160583941605696,5.277372262773702,1.6277372262773635,1,0,0,0,0.22042067915392152
468787.96640351496,110977.2962522,8.403364565583697e-06,0.23673239119938275,0.0585774058577406,0.0334728033472803,7,2.5969387755102007,5.071428571428565,0.7857142857142846,1,0,1,1,0.9512716588276612
10289652.044747895,1763739.06818244,0.010290875424018303,0.17140900980054988,0.1060510225595614,0.1083702298123551,8,1.837475149105368,3.465208747514911,0.7813121272365812,0,1,1,1,0.9056782746735579
109952790.8556322,14065878.69458511,0.31915126156199675,0.12792652724070988,0.0517928286852591,0.0398406374501992,6,2.194871794871788,3.923076923076912,0.846153846153843,0,1,1,1,0.9437906588799192
13830812.901803395,2714976.982809,1.8278544919361926e-06,0.19629916202936962,0.0534469403563129,0.0449264136328428,7,2.8923395445134585,5.66666666666667,1.0289855072463756,0,1,1,1,0.5609172024701023
26174685.31281427,39986920.53171335,0.11628025461045877,1.5276944136607085,0.0625,0.0416666666666667,6,1.7499999999999973,3.333333333333329,0.6666666666666649,0,1,1,1,0.9397716043886233
96013394.78087379,13757609.03020378,0.012717450865156632,0.14328843451064335,0.0848400556328234,0.0663620107291872,7,1.7835396453663424,3.3559718969555017,0.662763466042154,0,1,1,1,0.9692762894341426
